ctrlMSE	score	pMSE	p	BH
anion homeostasis	113.418546258799	0.819828467479161	0.8	0.6	1
positive regulation of activin receptor signaling pathway	111.526660487286	0.819825651895628	0.2	0.2	1
very long-chain fatty acid metabolic process	107.966953878933	0.81980311427657	0.2	0.6	1
regulation of cellular amine metabolic process	111.575051801276	0.819802154564912	0.2	0.2	1
protein destabilization	111.94874661873	0.819800010038198	0.2	0.2	1
cellular oxidant detoxification	119.626265400523	0.81979370978763	0.6	0.4	1
regulation of multicellular organism growth	110.869301481387	0.819790775481165	0.2	0.2	1
purine-containing compound biosynthetic process	111.783012077002	0.819790106627459	0.2	0.2	1
purine ribonucleotide biosynthetic process	111.753596714956	0.819775243732506	0.4	0.2	1
blood coagulation, fibrin clot formation	110.112570401344	0.819759547547724	0.2	0.2	1
cytoskeleton organization	110.488147817781	0.819746704131887	0.2	0.2	1
eye photoreceptor cell differentiation	110.966867705058	0.819746196626653	0.2	0.2	1
hexose transport	113.476234223267	0.8197346491458	0.2	0.2	1
leukocyte migration	111.989970897972	0.819724764248258	0.2	0.2	1
cofactor metabolic process	112.982277263527	0.81970272540396	0.2	0.2	1
pyrimidine-containing compound catabolic process	110.559722875053	0.819671673335699	0.4	0.6	1
regulation of protein dephosphorylation	111.717228374567	0.819669895701971	0.6	0.6	1
response to sterol depletion	110.264976186086	0.81966835343005	0.4	0.6	1
SREBP signaling pathway	110.264976186086	0.81966835343005	0.2	0.4	1
cellular response to sterol depletion	110.264976186086	0.81966835343005	0.4	0.4	1
urate biosynthetic process	111.214163661967	0.819663115360495	0.2	0.2	1
lymphocyte migration into lymphoid organs	117.290729572717	0.819641249236833	0.4	0.2	1
RNA phosphodiester bond hydrolysis, endonucleolytic	110.98600402975	0.819627437751076	0.6	0.6	1
protein maturation by protein folding	115.464260551928	0.819623456854047	0.6	0.2	1
DNA-templated transcription, elongation	110.536845957827	0.819604111484732	0.4	0.6	1
phospholipid scrambling	111.203534385278	0.819591725578865	0.2	0.2	1
regulation of chemokine (C-C motif) ligand 5 production	112.877824929102	0.819577476979926	0.2	0.2	1
protein acetylation	111.166410428383	0.81957197279066	0.4	0.6	1
nucleoside phosphate biosynthetic process	111.849262495438	0.819562809774455	0.2	0.4	1
monosaccharide metabolic process	112.130136075831	0.819553786321417	0.4	0.4	1
ribose phosphate biosynthetic process	111.823248212668	0.819549092882714	0.2	0.4	1
striated muscle contraction	111.77651086854	0.81954628368064	0.8	1	1
ribonucleotide biosynthetic process	111.82835392038	0.819543064113344	0.6	0.4	1
desensitization of G-protein coupled receptor protein signaling pathway	114.841157044078	0.819539263417484	0.6	0.6	1
negative adaptation of signaling pathway	114.841157044078	0.819539263417484	0.4	0.4	1
adaptation of signaling pathway	114.841157044078	0.819539263417484	0.8	0.8	1
strand displacement	112.023099052417	0.819535517643358	0.4	0.2	1
negative regulation of cellular response to oxidative stress	110.859339152537	0.819533921353521	0.6	0.6	1
negative regulation of oxidative stress-induced cell death	110.859339152537	0.819533921353521	0.4	0.4	1
regulation of thyroid hormone generation	110.83368991663	0.819495218275429	0.4	0.4	1
positive regulation of thyroid hormone generation	110.83368991663	0.819495218275429	0.2	0.2	1
quinolinate metabolic process	112.697138226062	0.819468342040807	0.2	0.2	1
base-excision repair, base-free sugar-phosphate removal	112.356753374973	0.819467896988114	0.2	0.4	1
DNA dephosphorylation	112.356753374973	0.819467896988114	0.4	0.4	1
regulation of fibrinolysis	114.31833693066	0.819443277638259	0.4	0.2	1
negative regulation of smooth muscle contraction	111.902245931998	0.819442246846109	0.2	0.2	1
negative regulation of muscle contraction	111.903591863874	0.819435308852794	0.4	0.2	1
nucleotide biosynthetic process	111.934958962987	0.819432594320819	0.4	0.4	1
regulation of tumor necrosis factor-mediated signaling pathway	111.900138991562	0.819389759339823	0.4	0.2	1
cell aging	112.034517835387	0.819387711599643	0.6	0.6	1
positive regulation of blood vessel diameter	111.950605938782	0.819376909855507	0.8	0.8	1
ubiquitin-dependent SMAD protein catabolic process	111.134629975248	0.819372528238622	0.2	0.2	1
regulation of glycogen (starch) synthase activity	110.252247347724	0.819367562729754	0.8	0.8	1
positive regulation of trophoblast cell migration	112.419652595938	0.819343465507655	0.2	0.2	1
contractile actin filament bundle assembly	113.907015519134	0.819340311998861	0.4	0.6	1
stress fiber assembly	113.907015519134	0.819340311998861	0.4	0.2	1
diadenosine polyphosphate metabolic process	112.657119950672	0.81933620084646	0.2	0.6	1
snRNA 3'-end processing	115.990344520845	0.819327898111072	0.2	0.2	1
mitotic chromosome movement towards spindle pole	113.747516986256	0.819324872299421	0.2	0.2	1
chromosome movement towards spindle pole	113.747516986256	0.819324872299421	0.2	0.2	1
synaptic vesicle transport	111.769587275831	0.819323248238493	0.2	0.2	1
establishment of synaptic vesicle localization	111.769587275831	0.819323248238493	0.2	0.2	1
vesicle-mediated transport in synapse	111.769587275831	0.819323248238493	0.4	0.4	1
inorganic cation import across plasma membrane	112.411093611899	0.819316627074425	0.4	0.4	1
inorganic ion import across plasma membrane	112.411093611899	0.819316627074425	0.8	0.6	1
protein processing	112.648634406192	0.81929191453177	0.4	0.4	1
plasma membrane bounded cell projection assembly	111.335758406526	0.819289629125534	0.2	0.4	1
regulation of smooth muscle contraction	111.929899918058	0.819273635443558	0.6	0.6	1
androgen biosynthetic process	112.941987036582	0.819266096673401	0.2	0.4	1
Golgi calcium ion transport	110.702152994205	0.819261667659083	0.2	0.4	1
regulation of transcription involved in cell fate commitment	112.185077234739	0.81924293891632	0.2	0.4	1
glutamate metabolic process	112.120945579486	0.819223277493239	0.4	0.4	1
positive regulation of G-protein coupled receptor protein signaling pathway	113.960400838133	0.819220343966119	0.4	0.4	1
regulation of cellular response to osmotic stress	113.427482022179	0.819212460513384	0.4	0.4	1
regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	113.427482022179	0.819212460513384	0.6	0.6	1
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	113.427482022179	0.819212460513384	0.2	0.2	1
actin filament capping	114.409487004612	0.819210687322045	0.4	0.2	1
positive regulation of bile acid biosynthetic process	116.3542946117	0.819200227572541	0.4	0.4	1
positive regulation of bile acid metabolic process	116.3542946117	0.819200227572541	0.2	0.2	1
endosome transport via multivesicular body sorting pathway	111.995752286865	0.819186808976266	0.2	0.2	1
skeletal muscle organ development	112.260283862165	0.819185406497298	0.6	0.8	1
regulation of phospholipase A2 activity	126.157240803879	0.819172663811221	0.8	0.6	1
muscle adaptation	115.771998001891	0.819172655451135	0.4	0.4	1
hormone transport	112.417937234244	0.81916293780316	0.4	0.4	1
negative regulation of excitatory postsynaptic potential	113.336260170566	0.819161090589703	0.2	0.2	1
regionalization	111.945519668978	0.819158630381242	0.6	0.6	1
developmental pigmentation	114.91881810767	0.819149436686475	0.6	0.2	1
pyrimidine-containing compound biosynthetic process	114.959995805492	0.819144683619462	0.4	0.4	1
cellular response to insulin stimulus	112.512593664345	0.819143473732832	0.4	0.4	1
positive regulation of membrane permeability	111.099604099935	0.819131120343959	0.6	0.6	1
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	111.605644978808	0.819117423617176	0.2	0.2	1
regulation of triglyceride metabolic process	111.992648740443	0.819116506392352	0.2	0.2	1
nuclear chromosome segregation	111.249795791455	0.819106111386248	0.2	0.2	1
positive regulation of developmental growth	111.742614941474	0.819103722569618	0.4	0.4	1
regulation of protein export from nucleus	110.90272324437	0.819103465963953	0.4	0.6	1
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	113.832229596298	0.819103372053435	0.8	0.8	1
regulation of transcription from RNA polymerase II promoter by histone modification	113.875481201167	0.819099481070411	0.2	0.2	1
negative regulation of transcription from RNA polymerase II promoter by histone modification	113.875481201167	0.819099481070411	0.2	0.2	1
negative regulation of striated muscle cell differentiation	111.861687378978	0.819095926297419	0.4	0.4	1
positive regulation of transcription involved in G1/S transition of mitotic cell cycle	111.080028423165	0.819084561482429	0.2	0.2	1
extracellular transport	111.389155317006	0.819084376819421	0.2	0.2	1
modulation of excitatory postsynaptic potential	111.427525701859	0.819061749611087	0.4	0.4	1
response to alcohol	112.088154284518	0.819056274205713	0.6	0.6	1
negative regulation of alpha-beta T cell proliferation	118.250571054959	0.819032066979188	0.2	0.2	1
negative regulation of CD4-positive, alpha-beta T cell proliferation	118.250571054959	0.819032066979188	0.4	0.4	1
isocitrate metabolic process	112.157637725844	0.819017039735475	0.4	0.4	1
antigen processing and presentation of peptide antigen via MHC class I	111.705588642583	0.819011480570632	0.4	0.4	1
beta-catenin destruction complex assembly	111.825448233569	0.818992635367346	0.6	0.8	1
tube development	112.335566281772	0.818992162420638	0.2	0.2	1
epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway	112.503038046673	0.818989557839951	0.4	0.4	1
IRE1-mediated unfolded protein response	109.970434143867	0.818973783476918	0.2	0.2	1
G-protein coupled receptor internalization	114.89425836917	0.818968034001864	0.8	0.6	1
camera-type eye morphogenesis	110.82047479259	0.818950022068853	0.8	0.8	1
stress-activated MAPK cascade	111.843514493228	0.818925016246922	0.6	0.6	1
cation transmembrane transport	110.284391885006	0.818923133494577	0.2	0.2	1
positive regulation of dendrite morphogenesis	116.522274837293	0.818917505634509	0.2	0.2	1
carbohydrate derivative catabolic process	110.070768467685	0.818913620503754	0.4	0.4	1
cardiolipin biosynthetic process	114.601728782061	0.81889053157049	0.2	0.2	1
regulation of actin filament bundle assembly	111.126284422335	0.818889429078364	0.4	0.6	1
mRNA 3'-end processing by stem-loop binding and cleavage	112.092464723588	0.818887149310274	0.2	0.2	1
midgut development	115.923817415699	0.818842781884048	0.6	0.4	1
negative regulation of protein targeting to membrane	113.880800726323	0.818838684667225	0.4	0.2	1
positive regulation of intracellular estrogen receptor signaling pathway	115.894426887199	0.818837990817111	0.4	0.2	1
dicarboxylic acid metabolic process	112.693823064555	0.818832013282625	0.4	0.6	1
response to axon injury	109.766586802709	0.818821340485693	0.4	0.4	1
mitochondrial translation	111.587804377103	0.818813325237291	0.6	0.6	1
stress-activated protein kinase signaling cascade	111.903329483891	0.818790040846047	0.4	0.4	1
glycerophospholipid metabolic process	113.193123325089	0.81878569328526	0.4	0.6	1
response to insulin	112.62651930543	0.818782910646196	0.4	0.2	1
negative regulation of sprouting angiogenesis	112.012160918817	0.818769186423414	0.6	0.6	1
regulation of cardiac muscle cell action potential involved in regulation of contraction	112.155973872651	0.818763630002797	0.2	0.2	1
regulation of homotypic cell-cell adhesion	113.851444950645	0.81876111872918	0.2	0.2	1
regulation of cAMP-mediated signaling	112.203690571779	0.818760028671958	0.8	0.6	1
acute inflammatory response	114.167271403069	0.818744048648015	0.6	0.6	1
regulation of superoxide anion generation	111.508000413889	0.818738830621094	0.4	0.6	1
tRNA aminoacylation for mitochondrial protein translation	112.26365690778	0.81872478654717	0.2	0.2	1
monocarboxylic acid transport	111.872137513896	0.81872386208416	0.4	0.4	1
cell redox homeostasis	112.647061795979	0.818716804745471	0.4	0.4	1
negative regulation of telomere maintenance via telomere lengthening	111.692164270902	0.818715959028055	0.6	0.8	1
translational termination	111.301843645599	0.818710653109033	0.4	0.8	1
amino-acid betaine metabolic process	113.396580119173	0.818680195102075	0.6	0.6	1
actin filament reorganization	113.892233913532	0.818677516352396	0.2	0.2	1
positive regulation by host of viral genome replication	111.503627174544	0.818662075721475	0.2	0.2	1
sister chromatid segregation	111.342243247166	0.818629266116191	0.2	0.2	1
negative regulation of epithelial cell differentiation	110.529512958704	0.81862736290187	0.6	0.8	1
cellular response to organonitrogen compound	111.636002070313	0.81861868511378	0.4	0.4	1
nuclear import	111.901667383971	0.818617131374511	0.4	0.4	1
mitochondrial translational elongation	111.317633349342	0.818601064054847	0.2	0.2	1
mitochondrial translational termination	111.321080638912	0.818593317774654	0.6	0.8	1
RNA phosphodiester bond hydrolysis	111.608255270614	0.818588760162505	0.2	0.2	1
UDP-N-acetylgalactosamine metabolic process	112.388669623088	0.818569750100411	0.4	0.4	1
response to epinephrine	112.456690696178	0.818563318733411	0.4	0.4	1
cellular response to epinephrine stimulus	112.456690696178	0.818563318733411	0.4	0.4	1
negative regulation of telomere maintenance via telomerase	111.283298283519	0.818561446710272	0.2	0.2	1
cardiac muscle tissue morphogenesis	114.082408241275	0.818558012256708	0.4	0.4	1
response to toxic substance	116.056148735989	0.818546170165789	0.4	0.4	1
regulation of lymphocyte differentiation	110.87638441475	0.818542434291211	0.4	0.6	1
negative regulation of chemokine (C-C motif) ligand 5 production	112.889083393629	0.818542340040905	0.2	0.2	1
membrane disassembly	110.780397889126	0.818541189279944	0.2	0.2	1
nuclear envelope disassembly	110.780397889126	0.818541189279944	0.2	0.2	1
cobalamin metabolic process	111.917205507308	0.818524165402141	0.4	0.4	1
oligopeptide transmembrane transport	113.376485227225	0.818512948495699	0.2	0.2	1
complement activation, alternative pathway	115.254911238012	0.818509476546963	0.6	0.4	1
cytochrome complex assembly	110.177192820659	0.818502886346206	0.4	0.6	1
establishment of protein localization to mitochondrion	112.253629018814	0.818500571092294	0.2	0.4	1
embryonic eye morphogenesis	119.398050789913	0.818498878912149	0.8	0.4	1
regulation of smooth muscle cell proliferation	114.45282750526	0.818498065708149	0.6	0.6	1
regulation of neuronal action potential	112.179168311614	0.818496415958711	0.4	0.4	1
vitamin D metabolic process	108.600532795973	0.818473821317733	0.2	0.2	1
pyridine-containing compound metabolic process	112.844265393437	0.818467632651255	0.2	0.2	1
lipid particle organization	113.91157030192	0.818460552240503	0.2	0.2	1
endosomal vesicle fusion	112.546930899074	0.818458183611576	0.4	0.4	1
negative regulation of protein localization to plasma membrane	113.53159400537	0.818457756285563	0.6	0.4	1
regulation of RNA binding	111.20110848896	0.818453757961414	0.2	0.4	1
spliceosomal snRNP assembly	112.496205731264	0.818449815093619	0.6	0.6	1
regulation of actomyosin structure organization	111.26808959039	0.818409308024058	0.4	0.4	1
positive regulation of histone deacetylation	114.041407244592	0.81838446444459	0.4	0.4	1
negative regulation of RIG-I signaling pathway	110.627008576927	0.818368922035409	0.2	0.4	1
mitophagy	112.518788749011	0.81836554862612	0.2	0.2	1
negative regulation of neuron apoptotic process	111.449424157673	0.818349923068207	0.4	0.4	1
regulation of attachment of mitotic spindle microtubules to kinetochore	112.474272788726	0.818347295106759	0.2	0.2	1
positive regulation of attachment of mitotic spindle microtubules to kinetochore	112.474272788726	0.818347295106759	0.2	0.2	1
negative regulation of protein localization to cell periphery	113.634625286056	0.81833482246701	0.4	0.4	1
potassium ion homeostasis	113.62563961069	0.818333743802261	0.2	0.2	1
cellular response to muramyl dipeptide	113.786757339095	0.818321321855966	0.2	0.4	1
chondroblast differentiation	113.485509260454	0.818310769940454	0.2	0.2	1
regulation of cytokine production involved in inflammatory response	109.100203792025	0.818304111073541	0.4	0.4	1
regulation of histone deacetylation	114.107442689085	0.81828662746649	0.6	0.6	1
regulation of protein localization to cell cortex	113.759494071996	0.818267372715353	0.2	0.2	1
positive regulation of protein localization to cell cortex	113.759494071996	0.818267372715353	0.6	0.6	1
regulation of T cell receptor signaling pathway	110.505630996458	0.81826567823367	0.6	0.6	1
sister chromatid cohesion	111.54504914996	0.818254311824832	0.4	0.2	1
lipid biosynthetic process	112.003117645235	0.818252221110368	0.4	0.4	1
calcium ion transmembrane transport via high voltage-gated calcium channel	114.260506257364	0.818251454770215	0.2	0.2	1
muscle organ development	112.552073591288	0.818247576119821	0.2	0.6	1
adherens junction organization	111.948733259332	0.818242039636694	0.4	0.4	1
atrial cardiac muscle tissue development	115.059232582205	0.81823926413437	0.6	0.6	1
atrial cardiac muscle tissue morphogenesis	115.059232582205	0.81823926413437	0.4	0.4	1
neurological system process involved in regulation of systemic arterial blood pressure	112.841167401009	0.818231658985111	0.4	0.4	1
regulation of protein oligomerization	115.678523654615	0.818228183915436	0.6	0.6	1
regulation of organic acid transport	111.613338231289	0.818225107874678	0.4	0.6	1
UV protection	113.157883116265	0.81822481758403	0.2	0.2	1
modification by symbiont of host morphology or physiology	111.30786859919	0.818222387508564	0.6	0.6	1
cellular potassium ion homeostasis	113.522730659055	0.818221538452122	0.4	0.4	1
positive regulation of telomerase activity	111.16723982529	0.818220919521089	0.6	0.6	1
regulation of steroid biosynthetic process	112.50009501282	0.818213163819861	0.2	0.2	1
gonad development	112.150161476865	0.818210908581236	0.6	0.6	1
response to muramyl dipeptide	113.799988994199	0.818200479632015	0.4	0.4	1
mitochondrial protein processing	112.440367499036	0.818194747293068	0.4	0.4	1
regulation of Cdc42 protein signal transduction	111.125791084676	0.81816735546681	0.4	0.4	1
positive regulation of cell aging	110.133697127844	0.818167257801446	0.2	0.2	1
noradrenergic neuron differentiation	113.012272159414	0.818157700039813	0.2	0.2	1
mitochondrial gene expression	111.811954730658	0.81815536119992	0.6	0.8	1
positive regulation of sulfur metabolic process	114.234693239054	0.818153554081785	0.2	0.2	1
phosphatidylglycerol biosynthetic process	114.979338859896	0.818133131458647	0.2	0.4	1
protein tetramerization	113.591722629294	0.818127876331522	0.4	0.4	1
potassium ion import	113.532801380528	0.818127512420338	0.2	0.2	1
negative regulation of lipid biosynthetic process	112.013867504695	0.818122780333596	0.2	0.4	1
neutral lipid catabolic process	111.931434233057	0.818097473607458	0.4	0.4	1
acylglycerol catabolic process	111.931434233057	0.818097473607458	0.6	0.6	1
regulation of glucose mediated signaling pathway	111.922654375607	0.818094855971983	0.2	0.2	1
positive regulation of glucose mediated signaling pathway	111.922654375607	0.818094855971983	0.4	0.4	1
establishment of protein localization to chromatin	113.562533488905	0.818092880041383	0.6	0.4	1
negative regulation of DNA-templated transcription, elongation	110.064639690698	0.818080300335444	0.2	0.4	1
columnar/cuboidal epithelial cell differentiation	111.198470295709	0.818078862236456	0.2	0.4	1
hydrogen peroxide metabolic process	112.674458039159	0.818076655443699	0.4	0.4	1
positive regulation of release of cytochrome c from mitochondria	112.972583690248	0.818035916972544	0.4	0.8	1
sodium ion homeostasis	119.539678952709	0.818032467919181	0.6	0.4	1
negative regulation of NFAT protein import into nucleus	111.512333309673	0.818027002767086	0.2	0.2	1
protein localization to nucleolus	114.189647340898	0.818013130162682	0.6	0.6	1
muscle cell proliferation	113.114847639317	0.81800482999799	0.4	0.2	1
toxin metabolic process	114.440801767371	0.818000747791263	0.8	0.6	1
cell cycle process	110.400771395419	0.817993836229865	0.2	0.2	1
somatic recombination of immunoglobulin gene segments	112.267681019851	0.817991254330231	0.4	0.4	1
autophagy of mitochondrion	113.108650593941	0.817981771393824	0.4	0.4	1
mitochondrion disassembly	113.108650593941	0.817981771393824	0.4	0.4	1
negative regulation of lipid metabolic process	111.937759013461	0.817981358093364	0.4	0.4	1
carbohydrate transmembrane transport	113.743833073869	0.817948178578948	0.2	0.2	1
G-quadruplex DNA unwinding	110.565568280422	0.817942022038414	0.4	0.6	1
dolichol-linked oligosaccharide biosynthetic process	114.456624461509	0.817937928987187	0.2	0.2	1
oligosaccharide-lipid intermediate biosynthetic process	114.456624461509	0.817937928987187	0.6	0.2	1
regulation of proteolysis involved in cellular protein catabolic process	112.167274170263	0.817928839604489	0.4	0.4	1
angiogenesis	110.021554713327	0.817913028692159	0.4	0.4	1
positive regulation of cellular catabolic process	112.115822756271	0.817906845959192	0.4	0.2	1
cellular response to amino acid stimulus	112.085085487318	0.817885323929419	0.4	0.4	1
regulation of telomerase activity	110.476899990444	0.817871951306756	0.4	0.4	1
regulation of sulfur metabolic process	114.255962346013	0.817870504389228	0.6	0.6	1
maturation of 5.8S rRNA	112.103164740592	0.817857409155874	0.4	0.4	1
negative regulation of DNA recombination	111.751902463885	0.817854357832041	0.2	0.4	1
regulation of stress fiber assembly	111.428084158702	0.817853741052145	0.2	0.2	1
nucleobase metabolic process	110.448326386373	0.817848108565208	0.4	0.4	1
receptor recycling	114.042271881185	0.817844150658156	0.2	0.2	1
negative regulation of histone H3-K9 dimethylation	111.858123309484	0.817839240191836	0.2	0.2	1
negative regulation of histone H3-K9 trimethylation	111.858123309484	0.817839240191836	0.2	0.2	1
positive regulation of phagocytosis	113.903856921351	0.817831245169989	0.8	0.6	1
anatomical structure formation involved in morphogenesis	113.975645499052	0.81782284235928	0.8	0.8	1
positive regulation of dopamine receptor signaling pathway	113.320395189637	0.817805972061498	0.2	0.2	1
growth	113.235997347698	0.817804454221273	0.4	0.4	1
regulation of histone H3-K9 dimethylation	111.870422406069	0.817802831367309	0.4	0.4	1
positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway	115.776908273932	0.817778397206961	0.4	0.4	1
ER to Golgi vesicle-mediated transport	112.736061891337	0.817774176609198	0.2	0.2	1
posttranscriptional gene silencing by RNA	110.874393255078	0.817753421648256	0.4	0.6	1
ferric iron transport	112.928674281773	0.817741605950095	0.6	0.6	1
transferrin transport	112.928674281773	0.817741605950095	0.8	0.8	1
trivalent inorganic cation transport	112.928674281773	0.817741605950095	0.2	0.4	1
inner mitochondrial membrane organization	110.286352427817	0.81773067816208	0.2	0.2	1
cellular response to peptide	112.318624940828	0.817728087580087	0.4	0.4	1
positive regulation of endoplasmic reticulum calcium ion concentration	112.964931837831	0.817726244514145	0.2	0.2	1
positive regulation of mRNA metabolic process	114.415741447378	0.817721343743161	0.6	0.2	1
cellular response to glucocorticoid stimulus	112.781007954594	0.817719832104529	0.4	0.6	1
iron ion transport	112.939876924961	0.817714587204934	0.4	0.4	1
interleukin-8 secretion	117.323796259592	0.817710997298404	0.4	0.2	1
porphyrin-containing compound catabolic process	113.356010160101	0.81770892600444	0.2	0.2	1
tetrapyrrole catabolic process	113.356010160101	0.81770892600444	0.6	0.6	1
heme catabolic process	113.356010160101	0.81770892600444	0.2	0.2	1
pigment catabolic process	113.356010160101	0.81770892600444	0.6	0.4	1
detection of light stimulus involved in visual perception	111.71327630065	0.817706026845013	0.2	0.2	1
detection of light stimulus involved in sensory perception	111.71327630065	0.817706026845013	0.2	0.4	1
heart development	112.85792154741	0.817703435362751	0.2	0.2	1
protein homooligomerization	109.799468268983	0.817703271349892	0.6	0.8	1
negative regulation of actin filament bundle assembly	111.936993025833	0.817687366372639	0.2	0.2	1
acyl-CoA metabolic process	110.376155145574	0.817664629927459	0.2	0.4	1
thioester metabolic process	110.376155145574	0.817664629927459	0.4	0.4	1
regulation of protein targeting to membrane	113.696300578276	0.817663244514681	0.6	0.4	1
glycosylceramide catabolic process	113.352746911814	0.817653206055599	0.4	0.2	1
sensory perception of sound	112.241106737983	0.817651159148894	0.4	0.6	1
paracrine signaling	112.52117688865	0.817643382906574	0.2	0.2	1
tissue morphogenesis	112.176735653315	0.81764134849231	0.4	0.4	1
regulation of protein localization to nucleolus	114.804918939446	0.817628366035619	0.2	0.2	1
positive regulation of protein localization to nucleolus	114.804918939446	0.817628366035619	0.2	0.2	1
negative regulation of stress fiber assembly	111.951493551239	0.817625422644757	0.4	0.4	1
regulation of synaptic transmission, glutamatergic	114.435814989517	0.817614328260607	0.8	0.8	1
response to peptide	112.331270824581	0.81761112113186	0.2	0.2	1
protein localization to mitochondrion	112.728564180604	0.81760808988692	0.8	0.8	1
negative regulation of small GTPase mediated signal transduction	113.047336115489	0.817603263076783	0.4	0.4	1
maintenance of location	116.031333709586	0.81759225127902	0.6	0.6	1
polyprenol catabolic process	115.860480492798	0.817587046994485	0.4	0.4	1
calcium ion-regulated exocytosis of neurotransmitter	113.794423203075	0.817582377068187	0.2	0.2	1
proteasome assembly	111.960020776743	0.817574782533485	0.2	0.2	1
embryonic heart tube morphogenesis	117.013877709968	0.817569057062594	0.8	0.6	1
protein-DNA complex disassembly	112.711202413496	0.817563860726149	0.2	0.2	1
regulation of protein serine/threonine kinase activity	112.141452260547	0.817555274690385	0.4	0.6	1
negative regulation of transforming growth factor beta production	117.743626168434	0.817552499681809	1	1	1
negative regulation of cellular senescence	114.249947777003	0.817545530206885	0.2	0.2	1
platelet degranulation	111.270113785957	0.817544971146619	0.6	0.6	1
UDP-glucuronate metabolic process	112.513618995426	0.817533662567755	0.4	0.4	1
blood vessel morphogenesis	113.964599634342	0.817525107024104	0.8	0.6	1
embryonic heart tube development	116.955030075622	0.817509402541941	0.6	0.6	1
sensory perception of mechanical stimulus	112.289061323652	0.817494889407181	0.4	0.4	1
glial cell development	112.130573149936	0.81749343776333	0.6	0.6	1
establishment or maintenance of cell polarity	111.828054527743	0.81749297609886	0.4	0.4	1
regulation of mitochondrial fission	113.014446356283	0.817464063448787	0.2	0.2	1
peptidyl-serine phosphorylation	114.120352035584	0.817447108372941	0.2	0.2	1
positive regulation of peptidyl-serine phosphorylation	113.100945689221	0.8174401901233	0.6	0.4	1
rhythmic process	111.209313409319	0.817434350284174	0.2	0.2	1
UDP-glucose metabolic process	113.418451227461	0.817428131066911	0.6	0.6	1
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	110.441162338813	0.817427202730583	0.4	0.4	1
response to lipid	110.638925694478	0.817415467001882	0.2	0.4	1
posttranscriptional gene silencing	110.946247653769	0.817412818869036	0.2	0.4	1
oogenesis	118.717767083428	0.817406816007252	0.4	0.2	1
negative regulation of G-protein coupled receptor protein signaling pathway	111.639612672612	0.817397760106766	0.2	0.2	1
ribosomal protein import into nucleus	113.974814659821	0.817383612814145	0.4	0.2	1
positive regulation of proteolysis involved in cellular protein catabolic process	113.314562811287	0.817370686093743	0.2	0.4	1
negative regulation of Ras protein signal transduction	113.050983377862	0.817369779964383	0.4	0.4	1
lysosome organization	113.374866433455	0.817365544986988	0.2	0.2	1
lytic vacuole organization	113.374866433455	0.817365544986988	0.2	0.4	1
positive regulation of histone H3-K9 acetylation	111.872393763448	0.817360522460051	0.4	0.4	1
development of primary sexual characteristics	112.441918271524	0.817344183765229	0.4	0.4	1
response to histamine	113.609879076288	0.817339408100128	0.4	0.6	1
negative regulation of anion transmembrane transport	115.986613545873	0.817277915659503	0.2	0.2	1
photoreceptor cell development	114.202427017435	0.817275399378832	0.4	0.2	1
positive regulation of protein localization to centrosome	114.823232967506	0.817268196827602	0.2	0.4	1
monovalent inorganic cation homeostasis	113.058211474281	0.817256495801142	0.2	0.2	1
regulation of protein localization to plasma membrane	113.039733369779	0.817254063882436	0.2	0.2	1
negative regulation of mast cell degranulation	116.684527450287	0.817253083293051	0.4	0.2	1
cellular response to acidic pH	113.464083306455	0.817235491593472	0.6	0.6	1
negative regulation of lipid transport	109.592567187154	0.817220632272003	0.2	0.4	1
response to hydroperoxide	116.707572040235	0.817213047849581	0.2	0.2	1
interleukin-2 production	113.553687207693	0.817186973462792	0.2	0.4	1
positive regulation of heterotypic cell-cell adhesion	114.70516339377	0.817186756812457	0.2	0.2	1
cellular response to toxic substance	115.47203353491	0.817182898508072	0.4	0.2	1
neural crest cell migration involved in autonomic nervous system development	115.211028067248	0.817177601237785	0.2	0.2	1
embryo implantation	112.421617855666	0.81717578200716	0.6	0.6	1
negative regulation of nitric-oxide synthase activity	113.697176796917	0.81716083189896	0.2	0.2	1
cellular response to misfolded protein	111.499989537221	0.817144732940587	0.2	0.4	1
regulation of JAK-STAT cascade	112.572025441802	0.817134876091229	0.2	0.4	1
regulation of STAT cascade	112.572025441802	0.817134876091229	0.4	0.4	1
regulation of NFAT protein import into nucleus	110.298877487418	0.817133491265492	0.2	0.2	1
positive regulation of triglyceride biosynthetic process	111.683695951694	0.817125689420713	0.4	0.4	1
cellular amino acid biosynthetic process	113.677977743785	0.817125320969878	0.2	0.2	1
stem cell differentiation	113.393551663359	0.817121806588822	0.2	0.6	1
protein quality control for misfolded or incompletely synthesized proteins	111.497947001107	0.817114287694821	0.6	0.8	1
chromatin silencing at rDNA	114.416452807404	0.817111945292444	0.6	0.6	1
regulation of transferase activity	112.758231185819	0.817098324521374	0.2	0.2	1
